Test Item,PROD LSL,PROD USL,OQC LSL,OQC USL,REL LSL,REL USL,CATEGORY,errcode,section,order,LOG,header,Error code
sfr_circle_40p5cm_ny8_cen_range,,0.07,,0.1,,0.13,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_cen_range,471
sfr_circle_40p5cm_ny8_LR_inner_delta,-0.17,0.17,-0.2,0.2,-0.23,0.23,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_LR_inner_delta,471
sfr_circle_40p5cm_ny8_LR_mid_delta,-0.17,0.17,-0.2,0.2,-0.23,0.23,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_LR_mid_delta,471
sfr_circle_40p5cm_ny8_TB_inner_delta,-0.17,0.17,-0.2,0.2,-0.23,0.23,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_TB_inner_delta,471
sfr_circle_40p5cm_ny8_TB_mid_delta,-0.17,0.17,-0.2,0.2,-0.23,0.23,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_TB_mid_delta,471
sfr_circle_40p5cm_ny8_LR_edge_delta,-0.2,0.2,-0.23,0.23,-0.26,0.26,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_LR_edge_delta,471
sfr_circle_40p5cm_ny8_TB_edge_delta,-0.2,0.2,-0.23,0.23,-0.26,0.26,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_TB_edge_delta,471
sfr_circle_40p5cm_ny8_60F_min,0.58,1,0.55,1,0.5,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_60F_min,471
sfr_circle_40p5cm_ny8_75F_min,0.52,1,0.49,1,0.44,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_75F_min,471
sfr_circle_40p5cm_ny8_cen_min,0.8,1,0.77,1,0.72,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_cen_min,471
sfr_circle_40p5cm_ny8_edge_min,0.44,1,0.41,1,0.36,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_edge_min,471
sfr_circle_40p5cm_offset_tilt_x,-1.5,1.5,-1.5,1.5,-1.5,1.5,Checked,453,MEUP,2,SC_SfrMedian_Alignment,sfr_circle_40p5cm_offset_tilt_x,453
sfr_circle_40p5cm_alignment_DFOV_DOTS,82,86,82,86,82,86,Checked,452,MEUP,2,SC_SfrMedian_Alignment,sfr_circle_40p5cm_alignment_DFOV_DOTS,452
sfr_circle_40p5cm_AETest_G_CDF,740,760,740,760,740,760,Checked,34,MEUP,-1,SC_SfrMedian_AEavgTEST,sfr_circle_40p5cm_AETest_G_CDF,34
sfr_circle_40p5cm_H_temp,,,,,,,Checked,43,MEUP,4,SC_SfrMedian_Alignment,sfr_circle_40p5cm_H_temp,43
sfr_circle_40p5cm_alignment_EFL,,,,,,,Checked,463,MEUP,2,SC_SfrMedian_Alignment,sfr_circle_40p5cm_alignment_EFL,463
sfr_circle_40p5cm_contrast,0,2,0,2,,,Checked,472,MEUP,3,SC_SfrMedian_Contrast,sfr_circle_40p5cm_contrast,472
sfr_circle_40p5cm_ny4_30F_min,0.43,1,0.4,1,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_30F_min,471
sfr_circle_40p5cm_ny4_30F_range,,0.27,,0.3,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_30F_range,471
sfr_circle_40p5cm_ny4_60F_min,0.29,1,0.26,1,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_60F_min,471
sfr_circle_40p5cm_ny4_60F_range,,,,,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_60F_range,471
sfr_circle_40p5cm_ny4_75F_min,0.24,1,0.21,1,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_75F_min,471
sfr_circle_40p5cm_ny4_cen_min,0.56,1,0.53,1,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_cen_min,471
sfr_circle_40p5cm_ny4_cen_range,,0.15,,0.18,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_cen_range,471
sfr_circle_40p5cm_ny4_edge_min,0.17,1,0.14,1,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_edge_min,471
sfr_circle_40p5cm_ny4_LR_edge_delta,-0.2,0.2,-0.23,0.23,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_LR_edge_delta,471
sfr_circle_40p5cm_ny4_LR_inner_delta,-0.17,0.17,-0.2,0.2,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_LR_inner_delta,471
sfr_circle_40p5cm_ny4_LR_mid_delta,-0.17,0.17,-0.2,0.2,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_LR_mid_delta,471
sfr_circle_40p5cm_ny4_TB_edge_delta,-0.2,0.2,-0.23,0.23,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_TB_edge_delta,471
sfr_circle_40p5cm_ny4_TB_inner_delta,-0.17,0.17,-0.2,0.2,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_TB_inner_delta,471
sfr_circle_40p5cm_ny4_TB_mid_delta,-0.17,0.17,-0.2,0.2,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny4_TB_mid_delta,471
sfr_circle_40p5cm_ny8_30F_min,0.7,,0.67,,0.62,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_30F_min,471
sfr_circle_40p5cm_ny8_30F_range,,0.17,,,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_30F_range,471
sfr_circle_40p5cm_ny8_60F_range,,,,,,,Checked,471,MEUP,1,SC_SfrMedian_Sfr,sfr_circle_40p5cm_ny8_60F_range,471
sfr_circle_40p5cm_offset_tilt_r,,,,,,,Checked,453,MEUP,2,SC_SfrMedian_Alignment,sfr_circle_40p5cm_offset_tilt_r,453
